Shaking effect,Line,Green,Red,Tet,Sex,Days post eclosion
1,4585,1,1,0,M,3
1,4585,1,1,0,M,3
1,4585,1,1,0,M,4
1,4585,1,1,0,M,4
1,4585,1,1,0,M,4
1,4585,1,1,0,M,4
1,4585,1,1,0,M,4
1,4585,1,1,0,M,4
1,4585,1,1,0,M,4
1,4585,1,1,0,M,4
1,4585,1,1,0,M,4
1,4585,1,1,0,M,4
1,4585,1,1,0,M,5
1,4585,1,1,0,M,5
1,4585,1,1,0,M,5
1,4585,1,1,0,M,5
1,4585,1,1,0,M,5
1,4585,1,1,0,M,5
1,4585,1,1,0,M,5
1,4585,1,1,0,M,5
1,4585,1,1,0,M,5
1,4585,1,1,0,M,5
1,4585,1,1,0,M,5
1,4585,1,1,0,M,5
1,4585,1,1,0,M,5
1,4585,1,1,0,M,5
1,4585,1,1,0,M,5
1,4585,1,1,0,M,5
1,4585,1,1,0,M,5
1,4585,1,1,0,M,5
1,4585,1,1,0,M,5
1,4585,1,1,0,M,5
1,4585,1,1,0,M,5
1,4585,1,1,0,M,6
1,4585,1,1,0,M,6
1,4585,1,1,0,M,6
1,4585,1,1,0,M,6
1,4585,1,1,0,M,7
1,4585,1,1,0,M,7
1,4585,1,1,0,F,3
1,4585,1,1,0,F,3
1,4585,1,1,0,F,4
1,4585,1,1,0,F,4
1,4585,1,1,0,F,4
1,4585,1,1,0,F,4
1,4585,1,1,0,F,4
1,4585,1,1,0,F,4
1,4585,1,1,0,F,4
1,4585,1,1,0,F,4
1,4585,1,1,0,F,4
1,4585,1,1,0,F,4
1,4585,1,1,0,F,4
1,4585,1,1,0,F,5
1,4585,1,1,0,F,5
1,4585,1,1,0,F,5
1,4585,1,1,0,F,5
1,4585,1,1,0,F,5
1,4585,1,1,0,F,5
1,4585,1,1,0,F,5
1,4585,1,1,0,F,5
1,4585,1,1,0,F,5
1,4585,1,1,0,F,5
1,4585,1,1,0,F,5
1,4585,1,1,0,F,5
1,4585,1,1,0,F,5
1,4585,1,1,0,F,5
1,4585,1,1,0,F,6
1,4585,1,1,0,F,6
1,4585,1,1,0,F,7
